1;0,25;1;0,25;44;11,31;;;1;0,25;37;9,51;2;0,51;;;;;;;75;19,28;16;4,11;;;;;;;46;11,82;8;2,05;6;1,54;13;3,34;23;5,91;20;5,14;2;0,51;94;24,16
1;0,16;1;0,16;58;9,84;;;1;0,16;74;12,56;3;0,5;1;0,16;2;0,33;1;0,16;91;15,44;24;4,07;;;2;0,33;2;0,33;87;14,77;19;3,22;7;1,18;26;4,41;36;6,11;24;4,07;3;0,5;126;21,39
1;0,16;;;90;14,58;;;;;68;11,02;3;0,48;;;;;1;0,16;108;17,5;27;4,37;;;1;0,16;2;0,32;82;13,29;13;2,1;6;0,97;29;4,7;37;5,99;34;5,51;1;0,16;114;18,47
1;0,13;;;77;10,75;1;0,13;1;0,13;63;8,79;4;0,55;2;0,27;;;;;162;22,62;32;4,46;2;0,27;5;0,69;5;0,69;76;10,61;33;4,6;6;0,83;29;4,05;34;4,74;72;10,05;;;111;15,5
;;1;0,14;90;13,41;1;0,14;;;69;10,28;4;0,59;1;0,14;;;1;0,14;58;8,64;34;5,06;;;2;0,29;2;0,29;116;17,28;6;0,89;11;1,63;35;5,21;42;6,25;6;0,89;2;0,29;190;28,31
8;1,16;;;109;15,88;;;3;0,43;58;8,45;3;0,43;;;;;1;0,14;70;10,2;49;7,14;3;0,43;2;0,29;3;0,43;116;16,9;32;4,66;9;1,31;30;4,37;44;6,41;9;1,31;;;137;19,97
;;;;54;10,07;;;2;0,37;48;8,95;6;1,11;;;;;;;41;7,64;35;6,52;1;0,18;1;0,18;2;0,37;152;28,35;12;2,23;13;2,42;27;5,03;26;4,85;6;1,11;1;0,18;109;20,33
3;0,49;;;81;13,27;;;3;0,49;55;9,01;8;1,31;1;0,16;1;0,16;;;40;6,55;45;7,37;;;4;0,65;5;0,81;142;23,27;23;3,77;8;1,31;38;6,22;40;6,55;6;0,98;;;107;17,54
3;0,56;;;64;12,05;;;1;0,18;63;11,86;5;0,94;;;;;;;50;9,41;27;5,08;1;0,18;2;0,37;1;0,18;143;26,93;12;2,25;12;2,25;27;5,08;21;3,95;10;1,88;3;0,56;86;16,19
1;0,19;;;42;8,33;;;;;45;8,92;;;;;1;0,19;;;63;12,5;35;6,94;1;0,19;2;0,39;2;0,39;93;18,45;17;3,37;9;1,78;32;6,34;32;6,34;12;2,38;;;117;23,21
5;0,80;;;82;13,12;;;1;0,16;55;8,8;7;1,12;;;;;3;0,47;69;11,04;32;5,12;;;3;0,47;7;1,12;119;19,04;17;2,72;7;1,12;36;5,76;49;7,84;;;;;133;21,28
2;0,37;;;53;9,96;;;3;0,56;63;11,84;1;0,18;3;0,56;;;;;36;6,76;41;7,7;;;1;0,18;1;0,18;146;27,44;12;2,25;2;0,37;26;4,88;33;6,2;4;0,75;1;0,18;104;19,54
2;0,38;;;69;13,42;;;2;0,38;34;6,61;3;0,58;;;1;0,19;1;0,19;53;10,31;27;5,25;;;1;0,19;4;0,77;64;12,45;30;5,83;10;1,94;24;4,66;39;7,58;4;0,77;1;0,19;145;28,21
2;0,27;1;0,13;87;11,95;1;0,13;;;43;5,9;2;0,27;;;;;1;0,13;76;10,43;33;4,53;1;0,13;4;0,54;5;0,68;156;21,42;19;2,6;13;1,78;38;5,21;57;7,82;12;1,64;;;177;24,31
2;0,28;1;0,14;112;15,88;;;1;0,14;71;10,07;4;0,56;1;0,14;;;;;62;8,79;38;5,39;;;2;0,28;4;0,56;139;19,71;19;2,69;11;1,56;26;3,68;34;4,82;14;1,98;1;0,14;163;23,12
3;0,57;;;59;11,28;;;3;0,57;58;11,08;8;1,52;3;0,57;;;1;0,19;51;9,75;40;7,64;;;3;0,57;1;0,19;119;22,75;15;2,86;5;0,95;23;4,39;21;4,01;5;0,95;3;0,57;102;19,5
1;0,19;;;48;9,52;;;;;56;11,11;1;0,19;;;1;0,19;;;47;9,32;28;5,55;;;2;0,39;6;1,19;134;26,58;11;2,18;16;3,17;28;5,55;15;2,97;4;0,79;1;0,19;105;20,83
1;0,16;1;0,16;60;10,11;1;0,16;1;0,16;41;6,91;10;1,68;;;;;1;0,16;65;10,96;33;5,56;;;2;0,33;;;150;25,29;18;3,03;4;0,67;44;7,41;39;6,57;2;0,33;2;0,33;118;19,89
2;0,35;;;73;12,82;;;2;0,35;27;4,74;4;0,7;;;;;;;79;13,88;13;2,28;;;2;0,35;3;0,52;85;14,93;15;2,63;11;1,93;13;2,28;44;7,73;1;0,17;2;0,35;193;33,91
6;0,97;;;85;13,77;;;3;0,48;22;3,56;1;0,16;;;;;;;70;11,34;24;3,88;;;4;0,64;3;0,48;109;17,66;16;2,59;14;2,26;29;4,7;41;6,64;3;0,48;1;0,16;186;30,14
;;;;66;13,49;1;0,2;1;0,2;27;5,52;2;0,4;;;1;0,2;;;40;8,17;32;6,54;;;1;0,2;2;0,4;68;13,9;17;3,47;7;1,43;15;3,06;37;7,56;3;0,61;1;0,2;168;34,35
1;0,16;;;82;13,82;;;;;29;4,89;3;0,5;1;0,16;;;;;75;12,64;16;2,69;;;3;0,5;4;0,67;87;14,67;15;2,52;11;1,85;15;2,52;34;5,73;;;1;0,16;216;36,42
;;;;76;14,53;;;;;32;6,11;2;0,38;1;0,19;;;;;55;10,51;27;5,16;;;1;0,19;;;92;17,59;20;3,82;3;0,57;21;4,01;40;7,64;4;0,76;;;149;28,48
;;;;84;17,07;;;;;28;5,69;2;0,4;;;;;;;52;10,56;17;3,45;;;;;2;0,4;72;14,63;16;3,25;4;0,81;17;3,45;35;7,11;2;0,4;1;0,2;160;32,52
;;;;64;13,5;;;;;26;5,48;6;1,26;;;;;;;44;9,28;23;4,85;;;2;0,42;3;0,63;79;16,66;26;5,48;8;1,68;13;2,74;30;6,32;1;0,21;2;0,42;147;31,01
2;0,32;;;78;12,64;;;;;38;6,15;3;0,48;;;;;;;81;13,12;21;3,4;;;2;0,32;2;0,32;98;15,88;34;5,51;12;1,94;17;2,75;42;6,8;9;1,45;;;178;28,84
;;;;68;11,88;1;0,17;;;35;6,11;5;0,87;;;;;;;52;9,09;39;6,81;4;0,69;2;0,34;5;0,87;86;15,03;18;3,14;5;0,87;11;1,92;48;8,39;3;0,52;;;190;33,21
